,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,mesh
0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,4,2,6,9,11,7,1,11,6,11,13,9,9,11,9,9,8,31,18,23,15,24,26,28,34,29,31,45,30,39,54,46,42,42,62,65,71,64,76,73,73,57,85,66,72,94,58,76,77,82,82,71,71,50,45,9,29.053333333333335,Hot Temperature
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,62,33,34,45,42,52,49,43,42,36,45,30,43,34,46,67,64,65,57,63,72,84,70,91,69,50,46,51,49,50,51,36,37,1,23.0,Ovariectomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0.2,Chagas Cardiomyopathy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,2,0,0,0,0,1,2,2,1,2,3,1,2,2,1,2,1,5,0,0,1,0,0.4533333333333333,Dextran Sulfate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,10,12,23,29,57,52,69,97,80,116,107,53,35,38,27,22,29,22,30,8,13,15,15,11,1,13.053333333333333,Trans-Activators
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8,5,0,4,8,5,1,1,3,2,1,1,7,4,2,10,11,16,11,13,14,20,21,23,26,23,11,27,12,16,29,25,14,9,20,11,10,8,8,3,1,2,1,6.04,Guanylate Cyclase
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,0,1,0,1,7,1,0,0,4,1,1,1,3,0,2,0,0,0,4,3,2,1,0,0.5333333333333333,Sicily
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,2,3,2,7,9,14,18,46,77,68,46,48,52,52,55,29,20,26,17,17,16,19,14,4,1,8.92,Drug Administration Routes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.013333333333333334,Hantaan virus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,3,0,0.18666666666666668,Betahistine
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,4,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,9,7,16,28,36,38,47,34,40,44,37,23,42,32,37,19,24,15,15,25,19,13,9,18,11,2,8.76,Adenoviridae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,9,6,7,5,1,9,4,4,2,3,4,5,5,5,5,6,4,5,3,4,6,7,12,3,5,3,9,3,3,2,4,3,10,7,7,2,0,2.546666666666667,Interferons
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,35,50,41,32,41,34,41,45,47,40,49,65,47,69,62,64,46,47,55,4,12.426666666666666,Spinocerebellar Ataxias
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,28,35,16,25,37,64,38,51,56,53,55,58,67,39,61,56,50,48,39,47,59,49,39,55,47,62,59,59,71,87,113,94,97,83,73,64,55,37,69,30,14,27,21,3,30.68,Efferent Pathways
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,5,9,16,10,18,21,36,58,65,97,123,136,142,109,136,95,86,89,84,67,44,64,61,34,3,21.546666666666667,Stem Cell Transplantation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0.13333333333333333,"Genes, Essential"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,2,0,1,0,0,0,1,3,1,2,1,3,1,0,1,0,1,3,5,1,3,0,1,1,1,0,0.56,Chenodeoxycholic Acid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,3,0,3,1,1,0,0,4,0,0,0,0,1,0,3,2,1,0,1,3,0,1,0,1,3,0,0,0,3,0,1,1,0,0.5333333333333333,Metoprolol
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,1,0,3,0,0.16,Agaricales
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,3,5,1,0,3,3,4,7,10,9,12,14,7,9,2,0,8,9,7,0,1.5733333333333333,Prosthesis-Related Infections
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.02666666666666667,Darier Disease
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0.05333333333333334,Pseudomonadaceae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,1,3,1,1,1,0,3,2,0,2,1,6,4,5,10,7,7,5,10,7,10,4,9,9,12,10,9,15,12,20,35,21,22,34,44,35,30,42,47,37,27,26,42,30,37,36,18,17,2,10.333333333333334,Nitriles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,1,0,2,0,0,1,1,1,0,2,1,1,2,1,3,1,2,2,3,3,1,4,3,3,2,7,7,5,10,9,9,6,5,12,16,6,11,5,3,0,2.1733333333333333,Africa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,2,0,1,1,2,0,2,0,0,1,0,1,1,0.37333333333333335,Mesenchymoma
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,9,7,15,9,20,11,10,18,14,14,12,17,16,0,2.533333333333333,"Microscopy, Fluorescence, Multiphoton"
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,2,0,1,4,2,0,5,3,6,2,1,35,2,2,0,0,4,6,2,6,4,3,1,14,2,5,2,1,3,2,2,5,4,12,4,9,9,7,11,7,7,3,5,6,5,7,4,5,4,2,1,3,2,1,0,3.36,Dystonia Musculorum Deformans
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,2,2,0,1,1,3,0,2,2,3,1,6,0,4,1,3,4,5,6,4,2,0,0.7866666666666666,Sulfonylurea Receptors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,2,0,2,0,3,0,1,3,1,0,1,1,0,0.29333333333333333,Rubinstein-Taybi Syndrome
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,1,2,1,1,1,3,1,0,0,9,6,8,18,11,19,4,13,8,16,12,20,16,17,20,24,33,49,45,76,52,56,56,76,70,70,88,100,63,81,112,119,147,146,174,176,137,161,180,133,154,168,133,166,11,43.61333333333334,Homeostasis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,2,0,2,3,4,0,3,2,0,0,2,0,2,0,0.3466666666666667,Ophthalmoscopes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2,0,0,0,2,1,0,3,0,0,2,1,1,1,4,1,0,0,2,1,2,1,0.4266666666666667,Fresh Water
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,3,0,1,1,1,2,0,0,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,1,0,0,1,2,0,0.38666666666666666,Paracoccidioidomycosis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,3,2,0,1,5,1,3,1,5,3,1,1,2,2,6,3,5,9,10,4,7,4,10,12,11,15,13,17,13,16,20,26,17,20,18,40,30,20,21,21,20,0,5.96,"Myelitis, Transverse"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,5,3,6,6,7,6,5,4,2,3,3,8,4,4,6,5,3,3,3,4,5,10,3,7,4,5,1,2,2,2,0,1.8533333333333333,Chromogranin A
