pmid	ForeName	LastName	Initials	order	Affiliation
31676170	QueeLim	Ch'ng	Q	9	Centre for Developmental Neurobiology, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London SE1 1UL, UK.
31676170	Rebecca A	Butcher	RA	10	Department of Chemistry, University of Florida, Gainesville, FL 32611, USA.
31676170	Yun	Zhang	Y	11	Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA. Electronic address: yzhang@oeb.harvard.edu.
31672263	Ignas	Cerniauskas	I	1	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31672263	Jochen	Winterer	J	2	Brain Research Institute, University of Zurich, Zürich 8057, Switzerland.
31672263	Johannes W	de Jong	JW	3	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31672263	David	Lukacsovich	D	4	Brain Research Institute, University of Zurich, Zürich 8057, Switzerland.
31672263	Hongbin	Yang	H	5	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31672263	Fawwad	Khan	F	6	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31672263	James R	Peck	JR	7	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31672263	Sophie K	Obayashi	SK	8	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31672263	Varoth	Lilascharoen	V	9	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92037, USA.
31672263	Byung Kook	Lim	BK	10	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92037, USA.
31672263	Csaba	Földy	C	11	Brain Research Institute, University of Zurich, Zürich 8057, Switzerland. Electronic address: foldy@hifo.uzh.ch.
31672263	Stephan	Lammel	S	12	Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA 94720, USA. Electronic address: lammel@berkeley.edu.
31668844	James M	Goodman	JM	1	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA.
31668844	Gregg A	Tabot	GA	2	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA.
31668844	Alex S	Lee	AS	3	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA.
31668844	Aneesha K	Suresh	AK	4	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA.
31668844	Alexander T	Rajan	AT	5	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA.
31668844	Nicholas G	Hatsopoulos	NG	6	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA; Department of Organismal Biology and Anatomy, University of Chicago, Chicago, IL, USA; Grossman Institute for Neuroscience, Quantitative Biology, and Human Behavior, University of Chicago, Chicago, IL, USA.
31668844	Sliman	Bensmaia	S	7	Committee on Computational Neuroscience, University of Chicago, Chicago, IL, USA; Department of Organismal Biology and Anatomy, University of Chicago, Chicago, IL, USA; Grossman Institute for Neuroscience, Quantitative Biology, and Human Behavior, University of Chicago, Chicago, IL, USA. Electronic address: sliman@uchicago.edu.
31668485	Fei	Hu	F	1	Division of Neurobiology, Department of Molecular and Cell Biology, Helen Wills Neuroscience Institute, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31668485	Tsukasa	Kamigaki	T	2	Division of Neurobiology, Department of Molecular and Cell Biology, Helen Wills Neuroscience Institute, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31668485	Zhe	Zhang	Z	3	Division of Neurobiology, Department of Molecular and Cell Biology, Helen Wills Neuroscience Institute, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31668485	Siyu	Zhang	S	4	Division of Neurobiology, Department of Molecular and Cell Biology, Helen Wills Neuroscience Institute, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31668485	Usan	Dan	U	5	Division of Neurobiology, Department of Molecular and Cell Biology, Helen Wills Neuroscience Institute, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA 94720, USA.
31668485	Yang	Dan	Y	6	Division of Neurobiology, Department of Molecular and Cell Biology, Helen Wills Neuroscience Institute, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA 94720, USA. Electronic address: ydan@berkeley.edu.
31668484	Andrew J	Weitz	AJ	1	Department of Bioengineering, Stanford University, Stanford, CA 94305, USA; Department of Neurology and Neurological Sciences, Stanford University, Stanford, CA 94305, USA.
31668484	Hyun Joo	Lee	HJ	2	Department of Neurology and Neurological Sciences, Stanford University, Stanford, CA 94305, USA.
31668484	ManKin	Choy	M	3	Department of Neurology and Neurological Sciences, Stanford University, Stanford, CA 94305, USA.
31668484	Jin Hyung	Lee	JH	4	Department of Bioengineering, Stanford University, Stanford, CA 94305, USA; Department of Neurology and Neurological Sciences, Stanford University, Stanford, CA 94305, USA; Department of Neurosurgery, Stanford University, Stanford, CA 94305, USA; Department of Electrical Engineering, Stanford University, CA 94305, USA. Electronic address: ljinhy@stanford.edu.
31653463	James M	Shine	JM	1	The University of Sydney, Sydney, NSW 2050, Australia. Electronic address: mac.shine@sydney.edu.au.
31653463	Luke J	Hearne	LJ	2	Center for Molecular and Behavioral Neuroscience, Rutgers University, Newark, NJ 07102, USA.
31653463	Michael	Breakspear	M	3	Hunter Medical Research Institute, University of Newcastle, Newcastle, NSW 2305, Australia; QIMR Berghofer Medical Research Institute, Brisbane, QLD 4006, Australia.
31653463	Kai	Hwang	K	4	Department of Psychological and Brain Sciences and The Iowa Neuroscience Institute, The University of Iowa, Iowa City, IA 52242, USA.
31653463	Eli J	Müller	EJ	5	The University of Sydney, Sydney, NSW 2050, Australia.
31653463	Olaf	Sporns	O	6	Department of Psychological and Brain Sciences, Indiana University, Bloomington, IN 47405, USA.
31653463	Russell A	Poldrack	RA	7	Department of Psychology, Stanford University, Stanford, CA 94305, USA.
31653463	Jason B	Mattingley	JB	8	Queensland Brain Institute, The University of Queensland, St. Lucia, QLD 4072, Australia; School of Psychology, The University of Queensland, St. Lucia, QLD 4072, Australia; Canadian Institute for Advanced Research, Toronto, ON M5G 1M1, Canada.
31653463	Luca	Cocchi	L	9	QIMR Berghofer Medical Research Institute, Brisbane, QLD 4006, Australia.
31648900	James	O'Sullivan	J	1	Department of Electrical Engineering, Columbia University, New York, NY, USA.
31648900	Jose	Herrero	J	2	Department of Neurosurgery, Hofstra-Northwell School of Medicine and Feinstein Institute for Medical Research, Manhasset, New York, NY, USA.
31648900	Elliot	Smith	E	3	Department of Neurological Surgery, The Neurological Institute, New York, NY, USA; Department of Neurosurgery, University of Utah, Salt Lake City, UT, USA.
31648900	Catherine	Schevon	C	4	Department of Neurological Surgery, The Neurological Institute, New York, NY, USA.
31648900	Guy M	McKhann	GM	5	Department of Neurological Surgery, The Neurological Institute, New York, NY, USA.
31648900	Sameer A	Sheth	SA	6	Department of Neurological Surgery, The Neurological Institute, New York, NY, USA; Department of Neurosurgery, Baylor College of Medicine, Houston, TX, USA.
31648900	Ashesh D	Mehta	AD	7	Department of Neurosurgery, Hofstra-Northwell School of Medicine and Feinstein Institute for Medical Research, Manhasset, New York, NY, USA.
31648900	Nima	Mesgarani	N	8	Department of Electrical Engineering, Columbia University, New York, NY, USA. Electronic address: nima@ee.columbia.edu.
31648899	Miho	Nakajima	M	1	McGovern Institute for Brain Research and the Department of Brain and Cognitive Science, Massachusetts Institute of Technology, Cambridge, MA, USA.
31648899	L Ian	Schmitt	LI	2	McGovern Institute for Brain Research and the Department of Brain and Cognitive Science, Massachusetts Institute of Technology, Cambridge, MA, USA.
31648899	Guoping	Feng	G	3	McGovern Institute for Brain Research and the Department of Brain and Cognitive Science, Massachusetts Institute of Technology, Cambridge, MA, USA; The Stanley Center for Psychiatric Genetics, Broad Institute of Harvard and MIT, Cambridge, MA, USA.
31648899	Michael M	Halassa	MM	4	McGovern Institute for Brain Research and the Department of Brain and Cognitive Science, Massachusetts Institute of Technology, Cambridge, MA, USA; The Stanley Center for Psychiatric Genetics, Broad Institute of Harvard and MIT, Cambridge, MA, USA. Electronic address: mhalassa@mit.edu.
31648898	Leah K	Cuddy	LK	1	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Willayat Y	Wani	WY	2	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Martino L	Morella	ML	3	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Caleb	Pitcairn	C	4	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Kotaro	Tsutsumi	K	5	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Kristina	Fredriksen	K	6	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Craig J	Justman	CJ	7	Lysosomal Therapeutics, Inc., Cambridge, MA 02139, USA.
31648898	Tom N	Grammatopoulos	TN	8	BioEnergetics, Boston, MA 02115, USA.
31648898	Nandkishore R	Belur	NR	9	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Friederike	Zunke	F	10	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA; Institute of Biochemistry, Christian-Albrechts-Universität zu Kiel, 24118 Kiel, Germany.
31648898	Aarthi	Subramanian	A	11	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Amira	Affaneh	A	12	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA.
31648898	Peter T	Lansbury	PT	13	Lysosomal Therapeutics, Inc., Cambridge, MA 02139, USA; Department of Neurology, Harvard Medical School, Cambridge, MA 02139, USA.
31648898	Joseph R	Mazzulli	JR	14	The Ken and Ruth Davee Department of Neurology, Northwestern University Feinberg School of Medicine, Chicago, IL 60611, USA. Electronic address: jmazzulli@northwestern.edu.
31647894	Michael Tri H	Do	MTH	1	F.M. Kirby Neurobiology Center and Department of Neurology, Boston Children's Hospital and Harvard Medical School, Center for Life Science 12061, 3 Blackfan Circle, Boston, MA 02115, USA. Electronic address: michael.do@childrens.harvard.edu.
31647893	Joachim	Gross	J	1	Institute for Biomagnetism and Biosignalanalysis (IBB), University of Muenster, 48149 Muenster, Germany; Otto-Creutzfeldt-Center for Cognitive and Behavioral Neuroscience, University of Muenster, 48149 Muenster, Germany; Centre for Cognitive Neuroimaging (CCNi), University of Glasgow, Glasgow, UK. Electronic address: joachim.gross@wwu.de.
31647892	Benjamin	Schuman	B	1	Neuroscience Institute, Department of Neuroscience and Physiology, New York University, New York, NY 10016, USA.
31647892	Bernardo	Rudy	B	2	Neuroscience Institute, Department of Neuroscience and Physiology, New York University, New York, NY 10016, USA; Department of Anesthesiology, Perioperative Care, and Pain Medicine, New York University, New York, NY 10016. Electronic address: bernardo.rudy@nyulangone.org.
31647891	Reece	Mazade	R	1	State University of New York, College of Optometry, New York, NY 10036, USA.
31647891	Jose Manuel	Alonso	JM	2	State University of New York, College of Optometry, New York, NY 10036, USA. Electronic address: jalonso@sunyopt.edu.
31647890	Paul R	Albert	PR	1	Ottawa Hospital Research Institute (Neuroscience), uOttawa Brain and Mind Research Institute, University of Ottawa, 451 Smyth Road, Ottawa ON K1H-8M5, Canada. Electronic address: palbert@uottawa.ca.
31647889	Steven	Boeynaems	S	1	Department of Genetics, Stanford University School of Medicine, Stanford, CA 94305, USA.
31647889	Aaron D	Gitler	AD	2	Department of Genetics, Stanford University School of Medicine, Stanford, CA 94305, USA. Electronic address: agitler@stanford.edu.
31647888	Oguz	Kanca	O	1	Department of Molecular and Human Genetics, BCM, Houston, TX, USA; Neurological Research Institute, TCH, Houston, TX, USA.
31647888	Hugo J	Bellen	HJ	2	Department of Molecular and Human Genetics, BCM, Houston, TX, USA; Neurological Research Institute, TCH, Houston, TX, USA; Department of Neuroscience, BCM, Houston, TX, USA; Howard Hughes Medical Institute, BCM, Houston, TX, USA. Electronic address: hbellen@bcm.edu.
31630908	Hirosato	Kanda	H	1	Department of Anesthesiology and Perioperative Medicine, School of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294, USA.
31630908	Jennifer	Ling	J	2	Department of Anesthesiology and Perioperative Medicine, School of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294, USA.
31630908	Sotatsu	Tonomura	S	3	Department of Anesthesiology and Perioperative Medicine, School of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294, USA.
31630908	Koichi	Noguchi	K	4	Department of Anatomy and Neuroscience, Hyogo College of Medicine, Nishinomiya, Hyogo 663-8501, Japan.
31630908	Sadis	Matalon	S	5	Department of Anesthesiology and Perioperative Medicine, School of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294, USA.
31630908	Jianguo G	Gu	JG	6	Department of Anesthesiology and Perioperative Medicine, School of Medicine, University of Alabama at Birmingham, Birmingham, AL 35294, USA. Electronic address: jianguogu@uabmc.edu.
31629603	Renny	Ng	R	1	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Secilia S	Salem	SS	2	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Shiuan-Tze	Wu	ST	3	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Meilin	Wu	M	4	Department of Pharmacology, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Hui-Hao	Lin	HH	5	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Andrew K	Shepherd	AK	6	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	William J	Joiner	WJ	7	Department of Pharmacology, University of California, San Diego, La Jolla, CA 92093, USA; Center for Circadian Biology, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Jing W	Wang	JW	8	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA.
31629603	Chih-Ying	Su	CY	9	Neurobiology Section, Division of Biological Sciences, University of California, San Diego, La Jolla, CA 92093, USA. Electronic address: c8su@ucsd.edu.
31627985	Hao	Li	H	1	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA.
31627985	Peter J	Vento	PJ	2	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA.
31627985	Jeffrey	Parrilla-Carrero	J	3	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA.
31627985	Dominika	Pullmann	D	4	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA.
31627985	Ying S	Chao	YS	5	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA.
31627985	Maya	Eid	M	6	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA.
31627985	Thomas C	Jhou	TC	7	Department of Neuroscience, Medical University of South Carolina, Charleston, SC 29425, USA. Electronic address: jhou@musc.edu.
31623919	Jesse A	Brown	JA	1	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	Jersey	Deng	J	2	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	John	Neuhaus	J	3	University of California, San Francisco, Department of Epidemiology and Biostatistics, San Francisco, CA, USA.
31623919	Isabel J	Sible	IJ	4	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	Ana C	Sias	AC	5	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	Suzee E	Lee	SE	6	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	John	Kornak	J	7	University of California, San Francisco, Department of Epidemiology and Biostatistics, San Francisco, CA, USA.
31623919	Gabe A	Marx	GA	8	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	Anna M	Karydas	AM	9	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	Salvatore	Spina	S	10	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
31623919	Lea T	Grinberg	LT	11	University of California, San Francisco, Memory and Aging Center, Department of Neurology, San Francisco, CA, USA.
